,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,is_drift,batch_id
26,3,23.73278,1,3,10850.603146,4,1,0,1,0,3,0,22.999212,2,1,1,2,1.0,0,0,0,22
27,3,17.459292,2,10,3302.749089,0,4,0,2,2,3,0,60.201206,1,1,0,3,1.0,1,1,0,22
28,0,29.887391,3,3,5800.657095,0,4,3,2,0,2,2,34.073646,1,0,1,3,1.0,1,1,0,22
29,0,11.506476,2,6,2473.652061,0,4,2,2,2,3,1,32.244166,1,0,1,2,1.0,0,1,0,22
30,3,12.078288,4,10,1051.111356,1,3,2,2,2,0,0,28.252671,1,1,1,2,2.0,1,1,0,22
31,0,23.641785,3,0,2329.131691,0,2,1,3,0,3,3,27.214081,1,0,0,2,1.0,0,1,0,22
32,1,12.277407,2,4,837.624147,0,2,3,2,0,3,0,21.54907,1,1,1,2,1.0,0,1,0,22
33,3,11.427506,4,4,4034.448636,4,4,0,2,0,3,0,32.718717,1,1,1,3,1.0,0,1,0,22
34,3,12.319942,4,4,567.801905,4,2,2,3,0,1,3,28.147508,1,1,0,2,1.0,1,1,0,22
35,1,8.609075,0,6,877.47228,0,4,3,2,0,3,1,53.601969,2,1,0,2,1.0,0,1,0,22
36,1,11.706716,4,1,2321.906422,4,4,1,2,0,3,2,25.054569,1,1,0,2,1.0,0,1,0,22
37,3,24.749973,2,7,4461.301883,4,1,2,3,0,1,1,32.965741,0,0,1,2,1.0,0,1,0,22
38,0,8.727995,2,10,1648.864106,0,0,2,1,0,3,0,44.591757,0,1,0,3,1.0,1,1,0,22
39,0,12.078341,0,0,2877.889413,0,2,2,2,0,1,0,39.449747,1,0,0,3,1.0,1,1,0,22
40,0,12.565384,2,3,1440.456958,0,3,2,2,0,2,0,38.766294,1,0,0,3,1.0,1,1,0,22
41,0,11.809898,2,4,1457.426244,0,2,3,3,0,0,0,28.146833,1,1,0,1,1.0,1,1,0,22
42,1,32.837005,2,0,7510.270663,0,3,1,2,0,2,1,29.425574,1,1,0,1,1.0,0,1,0,22
43,1,32.00728,2,9,3024.31336,1,1,3,3,0,1,1,43.013134,0,1,0,2,2.0,1,1,0,22
44,3,12.251561,0,4,1592.871879,4,3,3,1,0,0,1,54.514298,1,1,2,2,1.0,0,1,0,22
45,0,55.064843,1,3,6509.746191,4,4,3,2,0,2,1,37.267873,1,1,0,2,2.0,0,1,0,22
46,3,7.699241,2,7,1663.569147,1,1,1,1,0,1,2,27.50042,1,1,0,2,1.0,0,1,0,22
47,1,11.80187,2,4,2336.823684,0,3,3,3,1,3,3,31.856965,1,2,0,3,1.0,1,1,0,22
48,2,18.000081,2,4,2599.853017,2,2,3,1,0,1,0,24.187031,1,0,0,2,1.0,0,1,0,22
49,3,25.521831,2,4,4058.432566,2,4,1,1,0,1,0,65.221741,0,1,0,3,1.0,1,1,0,22
50,3,8.930084,4,7,1325.77151,4,1,3,2,0,2,3,29.697795,1,1,0,1,1.0,0,1,0,22
51,0,40.26179,4,0,4273.192518,0,2,3,2,0,1,2,23.215251,1,0,1,2,1.0,0,1,0,22
52,3,12.30623,2,0,1536.050811,4,4,3,2,0,3,0,35.181509,1,1,0,2,1.0,1,1,0,22
53,3,55.498227,2,4,3763.007189,0,4,1,2,0,3,2,38.912152,1,1,0,2,1.0,0,1,0,22
54,3,10.237097,2,6,1484.484596,0,4,3,1,0,3,0,37.080254,1,1,0,2,1.0,0,0,0,22
55,3,11.904101,2,1,2022.884856,0,2,2,3,1,1,0,28.083166,1,1,0,2,1.0,0,1,0,22
56,3,46.285494,2,4,44.745074,0,1,3,0,0,1,1,31.516143,1,1,0,1,1.0,0,1,0,22
57,0,53.707256,2,0,438.880719,0,2,3,1,2,2,0,34.401322,1,0,1,3,1.0,1,1,0,22
58,1,16.890359,2,4,3715.254196,0,1,3,2,0,2,1,30.097426,1,0,0,3,1.0,0,1,0,22
59,1,11.842646,2,4,1579.168978,4,2,2,3,0,1,1,43.418843,1,1,0,2,1.0,0,1,0,22
60,3,13.701972,4,0,1377.188684,0,4,3,1,1,3,2,50.664371,1,1,1,2,1.0,0,1,0,22
61,3,11.791007,2,0,491.407431,0,2,0,2,0,3,1,26.731432,1,1,0,2,1.0,1,1,0,22
62,1,28.410102,2,1,12472.135327,0,2,3,2,0,1,3,47.005024,1,2,0,2,1.0,1,1,0,22
63,2,15.966517,4,1,1443.35285,0,4,1,2,0,2,2,44.764516,1,1,0,2,1.0,0,1,0,22
64,0,7.796438,2,0,2728.521557,2,4,0,2,2,3,1,29.302471,1,0,0,2,1.0,1,1,0,22
65,3,20.987665,2,0,8599.312863,4,4,1,1,0,3,2,42.426958,1,1,0,2,1.0,1,1,0,22
66,1,17.786921,4,0,3240.519655,0,3,2,3,0,1,1,25.926589,1,1,0,2,1.0,0,0,0,22
67,3,32.140926,2,1,3714.094458,0,0,3,1,0,3,1,43.702511,1,1,0,2,1.0,0,1,0,22
68,1,46.432324,2,4,9830.117163,1,2,1,2,0,1,1,25.274502,1,1,2,2,1.0,0,1,0,22
69,1,6.829637,2,7,3982.589057,4,2,0,2,0,2,0,28.493738,1,0,0,1,1.0,0,1,0,22
70,3,11.652298,4,0,2349.862054,4,2,1,2,0,1,1,23.497891,1,1,1,2,1.0,1,1,0,22
71,0,30.719468,4,4,3360.197814,4,1,1,1,0,2,1,32.692917,1,1,0,3,1.0,1,1,0,22
72,1,18.588708,2,1,2355.968379,1,4,1,2,0,3,0,31.345054,0,1,0,1,1.0,0,1,0,22
73,3,12.247373,2,0,1274.086801,4,2,0,2,0,0,1,39.492554,1,0,0,3,1.0,1,1,0,22
74,0,12.050119,2,10,1537.808311,3,0,3,2,0,3,2,29.10729,1,1,0,0,1.0,1,1,0,22
75,1,23.592228,2,0,1397.798852,1,2,3,2,0,0,3,42.92566,1,0,0,1,1.0,1,1,0,22
76,0,37.324537,2,3,1473.325621,0,2,3,1,0,3,2,35.339538,1,1,0,2,1.0,0,1,0,22
77,1,23.294419,4,10,6280.71451,1,4,0,1,2,1,1,38.963082,1,1,0,2,1.0,1,1,0,22
78,1,50.277132,2,1,1299.995662,1,0,3,2,1,2,3,53.130005,1,1,0,2,2.0,0,1,0,22
79,1,37.135202,2,3,2821.908162,1,1,3,2,0,3,2,56.871051,1,1,0,2,1.0,0,1,0,22
80,0,38.379949,1,7,9145.579222,0,4,3,1,0,3,3,29.725957,0,0,1,2,1.0,1,1,0,22
81,0,38.269548,2,4,4272.475971,0,2,1,2,0,1,2,40.364342,1,1,1,2,1.0,0,1,0,22
82,3,36.519897,2,7,2420.223901,0,3,3,2,0,2,2,36.07854,1,1,0,2,1.0,1,1,0,22
83,3,11.51417,2,7,1062.270518,3,2,2,2,0,2,3,33.623187,1,2,0,2,1.0,1,1,0,22
84,0,8.880695,2,1,1616.165433,0,2,2,2,0,1,1,28.830248,0,1,0,2,1.0,1,1,0,22
85,0,45.441292,4,6,4804.444645,0,4,1,2,0,3,3,50.747679,1,1,1,2,2.0,1,1,0,22
86,3,7.387154,4,1,1061.329818,4,4,2,2,0,1,1,52.063229,1,1,1,2,1.0,1,1,0,22
87,1,6.584466,4,0,2213.09548,1,3,1,2,0,1,0,39.059187,1,1,1,2,2.0,0,1,0,22
88,3,17.952024,3,1,1484.769047,1,3,3,0,0,3,0,23.55094,1,1,1,3,1.0,1,1,0,22
89,3,24.487315,2,3,6933.067973,0,2,2,2,0,3,2,58.029535,1,1,0,2,1.0,0,1,0,22
90,3,11.774068,4,4,762.217282,0,2,3,1,0,1,2,38.604211,1,1,1,2,1.0,0,0,0,22
91,3,16.276756,2,4,1437.583615,3,4,3,2,2,3,2,27.37876,1,1,0,2,1.0,0,1,0,22
92,0,28.986972,3,10,2097.314147,1,4,2,1,0,1,0,35.276971,1,0,1,1,1.0,0,0,0,22
93,1,9.265274,2,0,1189.884425,0,2,3,1,0,1,0,44.65327,1,1,0,1,1.0,0,1,0,22
94,1,43.006866,2,0,2438.960533,0,2,3,2,0,0,1,59.768338,2,0,0,1,1.0,0,1,0,22
95,1,23.321459,2,4,2254.238367,1,2,3,1,0,0,2,39.275988,1,1,0,1,1.0,0,1,0,22
96,2,40.513627,4,4,9787.151856,0,2,3,1,0,2,1,23.711174,1,1,0,2,1.0,1,1,0,22
97,3,12.252953,2,0,2373.95207,0,1,3,1,0,3,0,27.178938,1,1,0,1,1.0,0,1,0,22
98,1,18.626998,4,4,3273.67333,4,2,1,1,0,1,1,48.780357,1,1,1,2,1.0,0,0,0,22
99,1,12.589435,2,3,631.765171,0,2,3,1,0,1,1,21.865649,1,1,1,2,1.0,1,1,0,22
100,0,11.808897,2,0,648.310645,0,1,3,1,0,3,0,23.50217,1,0,0,2,1.0,1,1,0,22
101,3,23.805062,2,1,4011.485013,0,2,1,2,0,0,2,29.374807,1,1,0,2,1.0,1,1,0,22
102,1,4.674044,2,1,1616.318716,0,3,2,1,0,1,0,39.744765,1,1,0,2,1.0,0,1,0,22
103,1,17.172153,0,3,1480.496677,0,2,3,2,0,1,1,31.466357,1,1,0,2,2.0,1,1,0,22
104,2,5.942574,2,0,1231.920521,0,2,0,2,0,1,0,28.909236,1,1,0,2,1.0,1,1,0,22
105,1,28.276433,4,3,2775.674112,3,4,3,2,0,3,1,42.782436,1,2,1,2,1.0,1,1,0,22
106,1,24.203735,2,4,2553.558879,1,2,3,2,0,1,3,31.388655,1,2,0,1,1.0,0,1,0,22
107,1,56.945947,2,7,13731.761338,0,4,0,2,0,2,3,65.041194,1,2,0,3,2.0,1,1,0,22
108,3,35.502845,2,10,3174.32641,4,4,3,1,0,3,1,42.824566,2,1,0,2,1.0,1,1,0,22
109,3,6.64885,2,0,813.367306,4,3,3,1,0,1,2,27.242178,1,0,0,2,1.0,0,0,0,22
110,2,24.575554,2,7,1864.30049,0,4,3,1,0,2,1,56.07061,1,1,0,2,1.0,0,1,0,22
111,1,8.685972,4,4,707.953649,4,3,3,3,0,3,3,26.494776,1,2,1,1,1.0,1,1,0,22
112,3,53.619239,2,3,3310.170332,0,2,3,2,0,1,1,41.250929,1,1,0,3,1.0,1,1,0,22
113,2,7.836175,2,4,1018.26793,0,2,3,1,0,1,0,24.499647,1,0,0,3,1.0,1,1,0,22
114,1,7.628146,0,4,425.373457,3,4,1,2,0,2,0,61.148228,1,1,0,1,1.0,0,1,0,22
115,3,15.612989,3,7,4012.314494,0,2,0,1,0,3,3,44.523735,1,1,1,1,1.0,1,1,0,22
116,0,11.538193,0,2,1380.142401,0,4,3,2,0,3,2,57.802629,1,1,0,2,1.0,1,1,0,22
117,3,29.360694,4,1,2368.250856,0,4,3,1,0,3,0,28.808978,1,1,2,3,1.0,1,1,0,22
118,3,25.430076,4,4,2253.107536,0,1,3,3,0,0,0,25.943059,1,1,1,2,1.0,1,1,0,22
119,3,9.374009,1,0,961.064999,0,2,1,2,0,3,1,26.184458,0,1,0,3,1.0,0,1,0,22
120,3,12.049479,3,0,1233.200273,0,4,3,2,0,3,0,50.318835,1,1,1,2,1.0,0,1,0,22
121,0,11.827968,4,0,2039.188537,0,1,2,2,0,3,0,30.376587,0,1,1,2,1.0,1,1,0,22
122,0,6.436064,2,1,294.610206,0,3,2,2,0,1,0,43.127891,1,1,0,2,2.0,0,1,0,22
123,3,5.127116,3,6,1076.448676,4,2,1,1,0,3,1,38.427333,2,1,1,2,1.0,0,1,0,22
124,3,23.89794,2,4,1478.18471,0,2,3,2,0,1,0,24.855004,1,1,1,2,1.0,0,1,0,22
125,0,17.05402,4,3,3821.70499,0,1,0,1,0,3,2,25.4759,1,1,1,2,1.0,0,1,0,22
126,3,24.224209,2,1,9784.55243,0,1,0,1,0,0,1,21.499962,1,1,0,1,1.0,1,1,0,22
127,0,24.045371,4,3,2037.381767,4,1,3,1,0,3,0,25.817544,1,1,1,2,1.0,1,1,0,22
128,1,8.001914,2,4,2682.464987,4,1,2,3,0,3,2,25.974194,1,0,0,2,1.0,0,1,0,22
129,1,12.431994,4,7,2062.269515,1,4,1,2,0,3,0,73.449415,1,1,1,1,1.0,1,1,0,22
130,2,44.3743,4,4,3463.754533,0,1,1,1,0,1,1,40.693521,1,1,0,2,1.0,1,1,0,22
131,3,10.62212,4,1,376.321478,0,4,0,2,0,2,2,39.74053,1,1,0,2,2.0,1,1,0,22
132,0,12.517995,2,10,1431.838644,0,4,2,2,0,3,2,40.4854,0,0,0,2,1.0,0,1,0,22
133,3,24.155022,2,4,1289.981038,0,2,3,2,0,2,2,35.454264,1,1,0,2,1.0,0,1,0,22
134,0,8.216131,1,3,2348.851269,0,2,1,3,0,3,0,59.512008,1,1,0,2,1.0,1,1,0,22
135,1,50.586304,2,0,6620.650493,4,2,1,1,0,1,3,21.841,1,2,0,2,1.0,1,1,0,22
136,3,13.080541,2,0,4070.726277,0,2,1,2,2,2,3,32.380544,1,2,0,2,2.0,1,1,0,22
137,1,26.568551,2,3,2244.390283,0,4,0,1,0,3,1,27.976553,1,1,0,2,1.0,1,1,0,22
138,0,37.851115,3,3,4198.460037,0,2,2,2,0,0,2,59.033767,1,0,1,2,1.0,0,1,0,22
139,3,11.615264,2,5,1427.641356,0,2,1,2,0,2,0,44.554154,1,1,0,2,1.0,1,1,0,22
140,1,25.179101,3,9,3094.783972,0,2,3,2,0,3,2,33.391778,0,1,1,1,2.0,1,1,0,22
141,3,9.476841,2,1,3591.716371,0,2,2,1,0,1,2,27.081134,1,1,0,2,1.0,1,1,0,22
142,1,16.890359,2,4,3715.254196,0,1,3,2,0,2,1,30.097426,1,0,0,3,1.0,0,1,0,22
143,3,6.477559,2,0,1553.167266,0,4,3,1,0,3,3,38.722796,1,0,0,2,1.0,1,1,0,22
144,1,24.908802,2,0,1709.08709,0,2,3,1,0,0,0,28.856269,2,1,0,2,2.0,0,1,0,22
145,2,23.990884,3,3,3414.532277,0,2,2,2,0,1,1,58.987537,1,1,1,2,1.0,0,1,0,22
146,3,17.773395,2,1,3379.390512,4,2,1,2,0,1,0,20.130156,1,1,0,3,1.0,1,1,0,22
147,3,12.030073,4,4,1262.153486,0,1,3,2,0,0,2,29.521975,1,1,0,2,2.0,0,1,0,22
148,1,39.847179,2,10,2067.950735,0,1,3,2,0,1,1,31.906698,1,1,0,1,1.0,1,1,0,22
149,3,43.269885,4,0,6927.515821,0,2,0,1,0,3,3,61.256105,1,2,0,2,1.0,1,1,0,22
150,0,17.927153,0,4,2610.005758,0,1,0,2,0,2,0,39.920238,0,0,1,2,2.0,1,1,0,22
151,0,12.179753,4,10,1085.75375,0,1,0,2,0,1,1,28.151037,1,0,3,2,1.0,0,1,0,22
152,1,40.63322,2,3,4041.446501,0,1,0,2,1,3,2,50.513066,1,1,0,2,1.0,0,1,0,22
153,0,24.194042,2,1,3822.857008,0,1,1,2,1,1,2,26.734007,1,1,0,3,2.0,1,1,0,22
154,3,12.30623,2,0,1536.050811,4,4,3,2,0,3,0,35.181509,1,1,0,2,1.0,1,1,0,22
155,0,37.995866,0,3,11233.673729,0,2,1,2,0,0,3,45.311936,1,2,1,1,2.0,1,1,0,22
156,0,25.776134,2,6,11028.730854,0,3,1,0,0,2,3,37.318907,1,2,0,3,1.0,1,1,0,22
157,2,6.75058,3,4,4032.323761,0,2,0,1,1,1,3,29.820943,1,2,0,1,1.0,0,1,0,22
158,3,24.329641,4,4,2052.760065,1,0,3,1,0,3,1,23.579567,1,1,0,2,1.0,1,1,0,22
159,1,44.067117,2,10,7833.247336,4,2,1,1,0,3,0,26.655344,1,1,0,2,1.0,0,1,0,22
160,0,42.855445,3,7,16547.648016,3,4,1,2,0,3,1,59.561324,1,1,0,2,2.0,1,1,0,22
161,0,40.259407,2,4,8507.394595,0,4,3,1,0,2,2,33.919805,1,1,0,2,2.0,0,1,0,22
162,0,12.635845,4,0,7776.547941,0,1,1,1,0,1,2,55.031972,1,1,2,1,1.0,1,1,0,22
163,3,12.045374,4,0,1586.678414,2,1,3,2,0,0,1,28.062109,1,0,0,3,1.0,1,1,0,22
164,1,11.689565,2,3,2906.732696,1,3,0,2,0,3,1,23.02321,1,1,0,1,1.0,0,1,0,22
165,0,15.445487,2,4,2387.034402,0,1,1,0,0,0,1,26.829975,1,0,0,2,1.0,0,1,0,22
166,3,8.069086,2,0,1735.978939,1,4,1,2,0,3,0,26.934484,0,1,0,2,1.0,0,0,0,22
167,3,12.454603,4,4,3829.002296,2,3,1,2,0,3,0,29.683231,1,1,1,2,2.0,0,1,0,22
168,1,34.497851,4,0,2088.275611,4,3,2,2,2,1,0,41.78916,1,1,1,2,1.0,1,1,0,22
169,0,24.545192,2,10,1820.297459,0,2,3,1,0,3,2,26.763195,0,1,0,2,2.0,0,1,0,22
170,3,42.811323,2,10,3836.041804,0,1,1,2,0,1,2,38.07616,1,0,0,2,1.0,0,1,0,22
171,3,19.590258,2,3,2579.351607,1,4,3,2,0,3,2,27.575348,1,1,0,2,1.0,0,1,0,22
172,1,41.44042,0,0,9642.801555,0,4,3,1,0,3,3,48.331846,1,0,1,2,1.0,0,1,0,22
173,3,10.015661,2,4,2926.972669,0,2,0,2,0,1,1,23.363926,1,1,0,1,2.0,0,1,0,22
174,3,6.893135,2,0,1751.816434,0,4,1,1,0,2,1,51.170496,1,1,0,2,1.0,1,1,0,22
175,3,11.106278,2,3,2353.871051,2,0,1,2,0,0,2,36.023277,1,0,0,3,1.0,1,1,0,22
176,3,34.44994,1,3,10548.666635,0,1,0,2,0,2,3,27.284721,1,2,1,2,1.0,1,1,0,22
177,1,11.859139,4,0,1134.509497,0,0,3,2,2,1,2,34.523364,0,1,0,3,1.0,1,1,0,22
178,0,23.723595,0,4,2658.747565,0,3,3,3,1,3,3,20.899067,0,0,2,3,1.0,1,1,0,22
179,3,43.694012,1,4,2944.692583,0,1,2,2,0,3,1,22.987963,2,0,0,2,1.0,0,1,0,22
180,0,33.030796,2,7,2948.196761,1,1,2,1,2,3,1,23.997294,1,1,0,2,1.0,1,1,0,22
181,3,35.949591,3,0,4849.682244,0,2,3,2,0,3,2,60.434937,1,0,0,2,2.0,0,1,0,22
182,1,25.594333,0,3,11242.227257,0,4,1,2,0,3,3,48.244296,2,2,2,1,1.0,0,1,0,22
183,3,12.16571,2,4,1467.060006,4,4,2,2,0,0,0,39.118468,1,1,0,1,1.0,1,1,0,22
184,1,18.243018,2,10,737.476112,3,1,1,1,0,0,2,21.253792,1,0,0,1,1.0,0,1,0,22
185,3,24.089753,2,3,5042.416751,0,4,1,2,0,1,0,56.95708,1,1,0,2,1.0,1,1,0,22
186,0,34.965278,2,1,7761.885653,0,2,1,0,0,3,0,31.992935,1,1,0,2,1.0,0,1,0,22
187,1,11.707846,2,6,2327.259968,4,4,1,2,0,3,2,65.863988,2,1,0,3,1.0,1,1,0,22
188,1,12.06325,2,0,826.400303,0,1,3,1,1,0,1,32.211612,0,0,0,2,1.0,1,1,0,22
189,3,24.12329,3,4,3305.768762,0,3,2,2,0,0,1,33.651829,1,0,1,2,1.0,1,1,0,22
190,2,46.7009,2,4,3752.482034,0,1,2,1,0,3,0,22.996874,1,1,1,2,1.0,0,1,0,22
191,0,16.497422,2,3,1431.314072,0,2,3,1,0,1,2,58.07983,1,0,0,2,1.0,0,1,0,22
192,3,12.146571,2,10,3660.82074,3,2,2,3,0,2,1,28.212047,1,0,0,1,1.0,0,1,0,22
193,0,18.226155,2,4,3843.695965,0,1,2,0,0,0,0,58.867073,1,1,0,1,1.0,0,0,0,22
194,0,11.753529,2,7,1495.288071,0,0,1,3,0,1,3,33.851815,1,2,0,2,1.0,0,1,0,22
195,1,12.220383,2,4,4723.861701,1,4,2,1,0,1,2,72.470504,0,0,0,2,1.0,0,1,0,22
196,0,52.338846,2,10,9795.453204,0,2,0,1,0,3,2,24.776367,1,1,0,3,1.0,1,1,0,22
197,1,20.23714,3,1,6793.805326,2,2,0,1,0,3,1,52.340126,1,0,0,2,1.0,1,1,0,22
198,0,24.115783,1,7,1275.844751,0,1,3,1,0,1,2,24.337702,1,0,0,2,1.0,0,1,0,22
199,2,18.845099,2,3,2142.80896,0,2,1,2,0,1,2,60.251096,1,1,0,2,1.0,1,1,0,22
200,1,12.203618,2,0,2204.635681,1,3,2,1,0,3,1,21.117017,1,1,0,1,1.0,0,1,0,22
201,0,33.030796,2,7,2948.196761,1,1,2,1,2,3,1,23.997294,1,1,0,2,1.0,1,1,0,22
202,3,8.913341,2,4,1077.728099,4,2,2,3,0,1,0,52.353337,1,1,0,2,1.0,0,1,0,22
203,0,16.995878,2,0,520.636074,0,3,3,1,1,3,0,20.830459,1,1,1,3,1.0,1,1,0,22
204,2,5.331433,2,4,1447.589544,0,0,2,3,0,3,2,34.777183,1,1,0,0,1.0,0,1,0,22
205,1,35.439433,2,7,7249.801588,1,1,1,1,0,2,3,34.821533,1,2,0,3,1.0,1,1,0,22
206,0,25.126293,4,10,3593.114899,3,1,3,1,0,3,0,26.53895,1,1,1,1,1.0,1,1,0,22
207,2,31.630947,2,3,11843.230758,2,2,2,1,0,3,2,26.048614,0,1,0,2,1.0,1,1,0,22
208,0,12.535787,2,10,850.820591,0,3,0,1,1,0,0,28.550765,1,0,1,2,2.0,0,1,0,22
209,3,24.992971,2,7,1312.894404,4,3,1,1,2,2,0,32.38815,1,1,0,3,1.0,1,1,0,22
210,3,11.683366,2,0,2149.123775,4,2,1,1,0,1,2,27.162686,1,1,1,2,1.0,0,1,0,22
211,3,14.906181,4,0,1861.411007,3,2,3,2,0,3,1,39.71522,1,1,0,2,2.0,0,1,0,22
212,1,7.157937,3,4,1498.577464,0,4,2,2,0,3,0,45.450739,1,1,0,2,2.0,1,1,0,22
213,1,12.538315,2,0,3261.172483,0,3,2,1,0,0,1,32.188185,1,1,0,3,1.0,1,1,0,22
214,3,24.670935,2,3,4922.70502,2,4,3,2,0,3,1,33.263167,1,0,0,2,1.0,0,1,0,22
215,3,50.993032,4,10,4041.639017,0,2,3,3,0,1,2,63.193368,1,1,1,2,1.0,0,1,0,22
216,1,24.986902,2,4,5798.101977,0,1,3,2,0,3,3,54.432066,1,2,1,1,1.0,0,1,0,22
217,3,24.445018,4,0,1931.226003,2,3,3,2,0,2,2,33.361941,1,1,1,2,1.0,1,1,0,22
218,3,10.504934,3,0,1523.386771,0,1,2,2,0,0,1,29.472764,1,1,0,2,2.0,0,0,0,22
219,0,31.134621,1,6,1759.040415,0,3,3,2,0,3,1,23.059439,0,1,1,2,1.0,0,1,0,22
220,3,34.379606,0,4,4050.701567,2,2,2,1,0,2,1,32.915161,2,1,1,1,1.0,0,1,0,22
221,1,39.357746,2,4,6827.985726,1,1,3,2,1,3,1,25.87197,1,0,0,2,1.0,0,1,0,22
222,3,14.61948,2,1,2203.677699,4,3,3,3,0,2,2,26.481404,1,1,0,1,1.0,0,1,0,22
223,3,40.003066,3,4,7082.247221,0,4,3,2,0,3,1,41.441027,1,1,1,2,2.0,1,1,0,22
224,1,12.392004,0,4,1205.01461,1,3,3,1,0,3,2,23.598598,1,1,1,3,1.0,0,1,0,22
225,1,9.453328,2,0,876.66624,4,4,1,1,0,3,0,41.752587,1,1,1,3,1.0,1,1,0,22
226,0,16.114347,2,4,9632.783174,4,2,2,2,0,1,3,23.459213,1,2,0,2,1.0,0,1,0,22
227,3,8.350702,4,9,870.729537,4,1,0,2,0,0,1,31.167369,1,1,0,2,1.0,0,1,0,22
228,3,55.091229,4,4,3320.772355,0,0,3,1,0,1,0,25.527624,1,1,0,3,1.0,1,1,0,22
229,3,19.732436,4,0,2084.309898,0,1,0,2,0,2,2,37.564383,1,1,2,2,1.0,0,1,0,22
230,1,39.474141,2,1,5304.305217,0,3,3,1,0,1,2,39.713145,0,1,0,2,1.0,1,1,0,22
231,1,21.875833,4,1,1408.415552,4,1,2,2,0,0,0,29.875366,1,0,0,2,1.0,1,1,0,22
232,3,14.279294,2,1,1658.038811,3,1,3,2,0,2,1,24.240039,1,1,1,2,2.0,1,1,0,22
233,1,23.087846,4,0,3623.151911,4,4,3,1,0,3,0,37.811625,1,1,1,2,1.0,0,1,0,22
234,3,18.658358,1,3,2115.764837,0,0,3,2,0,2,2,40.053385,2,1,0,3,2.0,1,1,0,22
235,3,23.8962,3,3,3819.627644,2,4,3,1,0,2,0,22.244017,2,1,0,1,1.0,0,1,0,22
236,0,19.975353,2,3,9374.853884,0,2,0,0,0,1,2,21.051162,1,1,0,2,1.0,1,1,0,22
237,0,43.357026,0,0,1587.583074,0,4,3,2,0,3,1,39.170531,1,1,1,2,2.0,1,1,0,22
